id,field,rep,sample,1_grain,2_grain,1_1,1_2,1_4,2_1,2_2,2_3,2_4,tot,dis_pods,inc,SDP,DSI,tot_1,tot_2,tot_3,tot_4
Campo escuela,4,1,1,5,37,,,,,,3,1,42,4,9.523809524,9.523809524,7.74,0,0,3,1
Campo escuela,4,1,2,6,38,,,,3,,2,1,44,6,13.63636364,6.818181818,7.39,3,0,2,1
Campo escuela,4,1,3,8,40,,1,,,,1,1,48,3,6.25,4.166666667,4.69,0,1,1,1
Campo escuela,4,1,4,10,32,,,,1,,,1,42,2,4.761904762,2.380952381,2.98,1,0,0,1
Campo escuela,4,1,5,6,29,,,,,,,2,35,2,5.714285714,5.714285714,5.71,0,0,0,2
Campo escuela,4,2,1,10,35,,,2,1,1,,,45,4,8.888888889,4.444444444,6.11,1,1,0,2
Campo escuela,4,2,2,8,37,,,,,,,3,45,3,6.666666667,6.666666667,6.67,0,0,0,3
Campo escuela,4,2,3,7,38,1,,1,1,,,,45,3,6.666666667,2.222222222,3.33,2,0,0,1
Campo escuela,4,2,4,9,34,1,,,1,,1,2,43,5,11.62790698,6.976744186,7.56,2,0,1,2
Campo escuela,4,3,1,8,35,1,,,,1,2,,43,4,9.302325581,4.651162791,5.23,1,1,2,0
Campo escuela,4,3,2,13,37,,,,,1,,,50,1,2,0,1,0,1,0,0
Campo escuela,4,3,3,7,38,,,,1,1,1,2,45,5,11.11111111,6.666666667,7.78,1,1,1,2
Campo escuela,4,3,4,8,40,1,,,,1,,,48,2,4.166666667,0,1.56,1,1,0,0
Campo escuela,4,4,1,6,35,,,1,,,1,1,41,3,7.317073171,7.317073171,6.71,0,0,1,2
Campo escuela,4,4,2,3,33,,,,1,,3,3,36,7,19.44444444,16.66666667,15.28,1,0,3,3
Campo escuela,4,4,3,7,29,,,,,,,1,36,1,2.777777778,2.777777778,2.78,0,0,0,1
Campo escuela,4,4,4,9,33,,,,,,1,1,42,2,4.761904762,4.761904762,4.17,0,0,1,1
Campo escuela,4,4,5,10,30,,,,,,1,1,40,2,5,5,4.38,0,0,1,1
Campo escuela,4,4,6,6,28,,,,,,1,,34,1,2.941176471,2.941176471,2.21,0,0,1,0
Laguna Larga,6,1,1,9,39,,,,,,1,1,48,2,4.166666667,4.166666667,3.65,0,0,1,1
Laguna Larga,6,1,2,11,35,,,,,,2,,46,2,4.347826087,4.347826087,3.26,0,0,2,0
Laguna Larga,6,1,3,5,34,,,,,1,1,,39,2,5.128205128,2.564102564,3.21,0,1,1,0
Laguna Larga,6,1,4,7,39,,,2,,,3,1,46,6,13.04347826,13.04347826,11.41,0,0,3,3
Laguna Larga,6,1,5,8,37,,3,,1,1,2,4,45,11,24.44444444,13.33333333,17.22,1,4,2,4
Laguna Larga,6,2,1,8,43,,,1,,1,2,1,51,5,9.803921569,7.843137255,7.84,0,1,2,2
Laguna Larga,6,2,2,4,38,,,,,1,5,,42,6,14.28571429,11.9047619,10.12,0,1,5,0
Laguna Larga,6,2,3,5,33,,,1,,,1,,38,2,5.263157895,5.263157895,4.61,0,0,1,1
Laguna Larga,6,2,4,10,32,,,,,1,3,1,42,5,11.9047619,9.523809524,8.93,0,1,3,1
Laguna Larga,6,3,1,7,31,,,1,1,,,2,38,4,10.52631579,7.894736842,8.55,1,0,0,3
Laguna Larga,6,3,2,6,38,,,,,,1,1,44,2,4.545454545,4.545454545,3.98,0,0,1,1
Laguna Larga,6,3,3,4,39,,,,,,1,1,43,2,4.651162791,4.651162791,4.07,0,0,1,1
Laguna Larga,6,3,4,12,35,,,,1,,3,,47,4,8.510638298,6.382978723,5.32,1,0,3,0
Laguna Larga,6,3,5,7,33,,,,,,2,1,40,3,7.5,7.5,6.25,0,0,2,1
Laguna Larga,6,3,6,5,30,,,,1,,1,,35,2,5.714285714,2.857142857,2.86,1,0,1,0
Rio Primero,3,1,1,13,38,,,,,,2,2,51,4,7.843137255,7.843137255,6.86,0,0,2,2
Rio Primero,3,1,2,11,39,,,,,,2,1,50,3,6,6,5,0,0,2,1
Rio Primero,3,1,3,13,36,,,1,,,1,,49,2,4.081632653,4.081632653,3.57,0,0,1,1
Rio Primero,3,1,4,6,32,,,,,,2,1,38,3,7.894736842,7.894736842,6.58,0,0,2,1
Rio Primero,3,2,1,3,39,,,,,,2,1,42,3,7.142857143,7.142857143,5.95,0,0,2,1
Rio Primero,3,2,2,8,32,,,,,,1,,40,1,2.5,2.5,1.88,0,0,1,0
Rio Primero,3,3,1,9,43,,,,1,,1,1,52,3,5.769230769,3.846153846,3.85,1,0,1,1
Rio Primero,3,3,2,8,41,,,2,,,2,1,49,5,10.20408163,10.20408163,9.18,0,0,2,3
Rio Primero,3,3,3,10,40,,,,1,,2,1,50,4,8,6,5.5,1,0,2,1
Rio Primero,3,3,4,11,37,,,,1,,1,,48,2,4.166666667,2.083333333,2.08,1,0,1,0
Rio Primero,3,3,5,6,36,,,,,,2,,42,2,4.761904762,4.761904762,3.57,0,0,2,0
Comechingones,5,1,1,11,37,,1,3,2,1,,2,48,9,18.75,10.41666667,13.54,2,2,0,5
Comechingones,5,1,2,14,40,,,1,,1,6,2,54,10,18.51851852,16.66666667,14.81,0,1,6,3
Comechingones,5,1,3,11,36,,,,2,,1,3,47,6,12.76595745,8.510638298,9.04,2,0,1,3
Comechingones,5,1,4,8,32,,,1,,,2,,40,3,7.5,7.5,6.25,0,0,2,1
Comechingones,5,2,1,12,29,,,1,,,5,,41,6,14.63414634,14.63414634,11.59,0,0,5,1
