image_id,spore_type,d1,d2
36,1,19.615,20.276
42,1,18.487,17.636
41,1,18.784,17.398
45,1,18.342,21.212
44,1,17.463,20.042
46,1,18.116,18.125
47,1,17.824,20.442
48,1,19.285,18.663
49,1,18.548,19.268
50,1,13.881,18.784
0,2,28.683,22.962
2,2,34.545,25.076
4,2,30.461,23.042
6,2,34.115,24.363
8,2,31.455,23.742
10,2,32.853,22.766
34,2,34.602,36.001
1,2,35.483,23.853
3,2,30.881,20.958
5,2,30.626,19.942
14,3,31.919,30.988
16,3,29.802,36.760
18,3,30.080,32.024
20,3,30.124,29.684
22,3,30.072,32.932
24,3,35.146,32.847
32,3,32.932,33.134
11,3,33.427,40.713
13,3,32.929,31.978
15,3,31.152,29.996
16_2,4,41.686,40.184
26,4,39.609,34.035
30,4,38.221,37.269
38,4,41.287,34.874
40,4,38.370,36.997
44,4,35.609,37.381
25,4,39.088,33.248
27,4,40.442,34.832
29,4,39.098,39.393
31,4,37.188,36.307
12,5,44.217,40.897
28,5,44.783,36.968
52,5,43.830,47.329
55,5,44.799,46.391
63,5,48.221,40.216
64,5,48.613,46.679
65,5,46.391,44.799
