field,minute_lap,rel_hum,temp,wind_speed,wind_dir
1,0,65,16,6.2,E
1,5,65,16,9,E
1,10,65,16,5.7,E
1,15,65,16.2,6.2,E
1,20,65,16.2,5.9,E
1,25,65,16.2,5.7,E
1,30,65,19.5,5.9,E
1,35,65,19.5,2.2,E
1,40,65,19.5,4.2,E
1,45,65,19.7,1.2,NE
1,50,65,19.7,2.5,NE
1,55,65,19.7,3.2,NE
1,60,65,19.5,10.5,NE
1,65,65,19.5,9.9,NE
1,70,65,19.5,9.1,NE
1,75,65,21.4,6.2,E
1,80,65,21.4,1.9,E
1,85,65,21.4,2.2,E
1,90,65,21.7,4.2,E
1,95,65,21.7,3.4,E
1,100,65,21.7,2.5,E
1,105,65,25.3,2,E
1,110,65,25.3,0,E
1,115,65,25.3,0,E
1,120,65,22.8,5.7,NE
1,125,65,22.8,10.8,NE
1,130,65,22.8,11.9,NE
1,135,65,23.2,9,NE
1,140,65,23.2,13,NE
1,145,65,23.2,11,NE
1,150,65,23.5,0,NE
1,155,65,23.5,2,NE
1,160,65,23.5,0,NE
1,165,65,24,2,NE
1,170,65,24,1.5,NE
1,175,65,24,0,NE
1,180,65,24.9,3.9,NE
1,185,65,24.9,4.8,NE
1,190,65,24.9,4.8,NE
1,195,65,25.4,6.2,NE
1,200,65,25.4,4.1,NE
1,205,65,25.4,5.8,NE
1,210,65,24.4,1.2,NE
1,215,65,24.4,2.5,NE
1,220,65,24.4,5.3,NE
1,225,65,24.4,8.9,NE
1,230,65,24.4,8.4,NE
1,235,65,24.4,7.9,NE
1,240,65,24,3.7,E
1,245,65,24,3.4,E
1,250,65,24,2.5,E
1,255,65,21.9,1.7,E
1,260,65,21.9,1.4,E
1,265,65,21.9,1.8,E
1,270,65,19.8,5.4,NE
1,275,65,19.8,3.5,NE
1,280,65,19.8,2.8,NE
2,0,55,22,30.2,SW
2,5,55,22,36.1,SW
2,10,55,22,29.8,SW
2,15,55,23.2,24.8,SW
2,20,55,23.2,24.1,SW
2,25,55,23.2,32,SW
2,30,55,25.4,31.7,S
2,35,55,25.4,31.1,S
2,40,55,25.4,31.1,S
2,45,55,23.3,17.4,S
2,50,55,23.3,25.1,S
2,55,55,23.3,38.5,S
2,60,55,25.6,9.8,SW
2,65,55,25.6,14.8,SW
2,70,55,25.6,20.8,SW
2,75,55,25.4,23.7,S
2,80,55,25.4,26.5,S
2,85,55,25.4,28.5,S
2,90,55,23.1,21.1,S
2,95,55,23.1,24.8,S
2,100,55,23.1,21.9,S
2,105,55,21.3,27.1,S
2,110,55,21.3,31.1,S
2,115,55,21.3,29.7,S
2,120,55,21.8,39.1,S
2,125,55,21.8,37.1,S
2,130,55,21.8,33.1,S
2,135,55,22.3,40.2,S
2,140,55,22.3,37.4,S
2,145,55,22.3,39.9,S
2,150,55,23.1,39.2,S
2,155,55,23.1,33.1,S
2,160,55,23.1,28.4,S
2,165,55,23.4,34,SW
2,170,55,23.4,33,SW
2,175,55,23.4,32.5,SW
2,180,55,24.1,24.8,S
2,185,55,24.1,33.7,S
