field,trap_coord,distance_m,time_min,sub_sample,sub,n_spore
1,N,100,90,1,1,2
1,N,100,90,1,2,0
1,N,100,90,2,1,0
1,N,100,90,2,2,0
1,N,200,90,1,1,0
1,N,200,90,1,2,0
1,N,200,90,2,1,0
1,N,200,90,2,2,2
1,N,300,90,1,1,1
1,N,300,90,1,2,0
1,N,300,90,2,1,0
1,N,300,90,2,2,0
1,N,400,90,1,1,1
1,N,400,90,1,2,0
1,N,400,90,2,1,0
1,N,400,90,2,2,0
1,N,100,180,1,1,1
1,N,100,180,1,2,1
1,N,100,180,2,1,2
1,N,100,180,2,2,0
1,N,200,180,1,1,0
1,N,200,180,1,2,0
1,N,200,180,2,1,2
1,N,200,180,2,2,1
1,N,300,180,1,1,0
1,N,300,180,1,2,0
1,N,300,180,2,1,0
1,N,300,180,2,2,0
1,N,400,180,1,1,0
1,N,400,180,1,2,0
1,N,400,180,2,1,1
1,N,400,180,2,2,0
1,N,100,270,1,1,1
1,N,100,270,1,2,1
1,N,100,270,2,1,1
1,N,100,270,2,2,0
1,N,200,270,1,1,3
1,N,200,270,1,2,5
1,N,200,270,2,1,2
1,N,200,270,2,2,4
1,N,300,270,1,1,0
1,N,300,270,1,2,0
1,N,300,270,2,1,0
1,N,300,270,2,2,0
1,N,400,270,1,1,0
1,N,400,270,1,2,1
1,N,400,270,2,1,0
1,N,400,270,2,2,0
1,E,100,90,1,1,2
1,E,100,90,1,2,1
1,E,100,90,2,1,0
1,E,100,90,2,2,0
1,E,200,90,1,1,0
1,E,200,90,1,2,0
1,E,200,90,2,1,0
1,E,200,90,2,2,0
1,E,300,90,1,1,1
1,E,300,90,1,2,1
1,E,300,90,2,1,0
1,E,300,90,2,2,0
1,E,400,90,1,1,0
1,E,400,90,1,2,0
1,E,400,90,2,1,2
1,E,400,90,2,2,0
1,E,100,180,1,1,2
1,E,100,180,1,2,1
1,E,100,180,2,1,0
1,E,100,180,2,2,2
1,E,200,180,1,1,0
1,E,200,180,1,2,0
1,E,200,180,2,1,0
1,E,200,180,2,2,0
1,E,300,180,1,1,0
1,E,300,180,1,2,0
1,E,300,180,2,1,0
1,E,300,180,2,2,0
1,E,400,180,1,1,0
1,E,400,180,1,2,0
1,E,400,180,2,1,0
1,E,400,180,2,2,0
1,E,100,270,1,1,1
1,E,100,270,1,2,5
1,E,100,270,2,1,0
1,E,100,270,2,2,0
1,E,200,270,1,1,2
1,E,200,270,1,2,2
1,E,200,270,2,1,1
1,E,200,270,2,2,0
1,E,300,270,1,1,3
1,E,300,270,1,2,0
1,E,300,270,2,1,0
1,E,300,270,2,2,0
1,E,400,270,1,1,0
1,E,400,270,1,2,1
1,E,400,270,2,1,0
1,E,400,270,2,2,0
1,W,100,90,1,1,9
1,W,100,90,1,2,4
1,W,100,90,2,1,2
1,W,100,90,2,2,3
1,W,200,90,1,1,2
1,W,200,90,1,2,2
1,W,200,90,2,1,0
1,W,200,90,2,2,3
1,W,300,90,1,1,11
1,W,300,90,1,2,8
1,W,300,90,2,1,7
1,W,300,90,2,2,17
1,W,400,90,1,1,2
1,W,400,90,1,2,1
1,W,400,90,2,1,5
1,W,400,90,2,2,4
1,W,100,180,1,1,23
1,W,100,180,1,2,9
1,W,100,180,2,1,24
1,W,100,180,2,2,11
1,W,200,180,1,1,15
1,W,200,180,1,2,14
1,W,200,180,2,1,15
1,W,200,180,2,2,31
1,W,300,180,1,1,5
1,W,300,180,1,2,3
1,W,300,180,2,1,4
1,W,300,180,2,2,1
1,W,400,180,1,1,6
1,W,400,180,1,2,2
1,W,400,180,2,1,1
1,W,400,180,2,2,1
1,W,100,270,1,1,8
1,W,100,270,1,2,4
1,W,100,270,2,1,5
1,W,100,270,2,2,13
1,W,200,270,1,1,4
1,W,200,270,1,2,5
1,W,200,270,2,1,4
1,W,200,270,2,2,4
1,W,300,270,1,1,11
1,W,300,270,1,2,12
1,W,300,270,2,1,4
1,W,300,270,2,2,3
1,W,400,270,1,1,4
1,W,400,270,1,2,1
1,W,400,270,2,1,2
1,W,400,270,2,2,5
1,S,100,90,1,1,14
1,S,100,90,1,2,9
1,S,100,90,2,1,15
1,S,100,90,2,2,12
1,S,200,90,1,1,22
1,S,200,90,1,2,31
1,S,200,90,2,1,16
1,S,200,90,2,2,18
1,S,300,90,1,1,0
1,S,300,90,1,2,2
1,S,300,90,2,1,0
1,S,300,90,2,2,0
1,S,400,90,1,1,0
1,S,400,90,1,2,0
1,S,400,90,2,1,0
1,S,400,90,2,2,0
1,S,100,180,1,1,16
1,S,100,180,1,2,14
1,S,100,180,2,1,29
1,S,100,180,2,2,20
1,S,200,180,1,1,15
1,S,200,180,1,2,23
1,S,200,180,2,1,18
1,S,200,180,2,2,23
1,S,300,180,1,1,3
1,S,300,180,1,2,9
1,S,300,180,2,1,7
1,S,300,180,2,2,3
1,S,400,180,1,1,0
1,S,400,180,1,2,0
1,S,400,180,2,1,0
1,S,400,180,2,2,1
1,S,100,270,1,1,18
1,S,100,270,1,2,19
1,S,100,270,2,1,22
1,S,100,270,2,2,15
1,S,200,270,1,1,18
1,S,200,270,1,2,27
1,S,200,270,2,1,17
1,S,200,270,2,2,20
1,S,300,270,1,1,1
1,S,300,270,1,2,2
1,S,300,270,2,1,2
1,S,300,270,2,2,1
1,S,400,270,1,1,5
1,S,400,270,1,2,12
1,S,400,270,2,1,8
1,S,400,270,2,2,4
2,N,100,90,1,1,14
2,N,100,90,1,2,10
2,N,100,90,2,1,21
2,N,100,90,2,2,22
2,N,200,90,1,1,31
2,N,200,90,1,2,3
2,N,200,90,2,1,23
2,N,200,90,2,2,14
2,N,300,90,1,1,4
2,N,300,90,1,2,11
2,N,300,90,2,1,14
2,N,300,90,2,2,8
2,N,400,90,1,1,9
2,N,400,90,1,2,25
2,N,400,90,2,1,10
2,N,400,90,2,2,37
2,N,100,180,1,1,7
2,N,100,180,1,2,12
2,N,100,180,2,1,7
2,N,100,180,2,2,28
2,N,200,180,1,1,45
2,N,200,180,1,2,27
2,N,200,180,2,1,32
2,N,200,180,2,2,15
2,N,300,180,1,1,8
2,N,300,180,1,2,9
2,N,300,180,2,1,13
2,N,300,180,2,2,6
2,N,400,180,1,1,18
2,N,400,180,1,2,15
2,N,400,180,2,1,22
2,N,400,180,2,2,21
2,N,100,270,1,1,23
2,N,100,270,1,2,12
2,N,100,270,2,1,13
2,N,100,270,2,2,4
2,N,200,270,1,1,40
2,N,200,270,1,2,29
